date_name,url_img
"USNI News Fleet and Marine Tracker: Nov. 5, 2018",https://news.usni.org/wp-content/uploads/2018/11/FT_11_05_2018-660x370.jpg
"USNI News Fleet and Marine Tracker: Oct. 29, 2018",https://news.usni.org/wp-content/uploads/2018/10/FT_10_29_2018-660x368.jpg
"USNI News Fleet and Marine Tracker: Oct. 22, 2018",https://news.usni.org/wp-content/uploads/2018/10/FT_10_22_2018-1-660x370.jpg
"USNI News Fleet and Marine Tracker: Oct. 15, 2018",https://news.usni.org/wp-content/uploads/2018/10/FT_10_15_2018-660x370.jpg
"USNI News Fleet and Marine Tracker: Oct. 8, 2018",https://news.usni.org/wp-content/uploads/2018/10/FT_10_08_2018-660x370.jpg
"USNI News Fleet and Marine Tracker: Oct. 1, 2018",https://news.usni.org/wp-content/uploads/2018/10/FT_10_01_2018-660x369.jpg
"USNI News Fleet and Marine Tracker: Sept. 24, 2018",https://news.usni.org/wp-content/uploads/2018/09/FT_09_21_2018-660x370.jpg
"USNI News Fleet and Marine Tracker: Sept. 17, 2018",https://news.usni.org/wp-content/uploads/2018/09/FT_09_17_2018-660x370.jpg
"USNI News Fleet and Marine Tracker: Sept. 10, 2018",https://news.usni.org/wp-content/uploads/2018/09/FT_09_10_2018-660x369.jpg
"USNI News Fleet and Marine Tracker: Sept. 4, 2018",https://news.usni.org/wp-content/uploads/2018/09/FT_09_04_2018-660x370.jpg
"USNI News Fleet and Marine Tracker: Aug. 27, 2018",https://news.usni.org/wp-content/uploads/2018/08/FT_08_27_2018-660x370.jpg
"USNI News Fleet and Marine Tracker: Aug. 20, 2018",https://news.usni.org/wp-content/uploads/2018/08/FT_08_20_2018-660x370.jpg
"USNI News Fleet and Marine Tracker: Aug. 13, 2018",https://news.usni.org/wp-content/uploads/2018/08/FT_08_13_2018-660x371.jpg
"Iwo Jima ARG, 26th MEU Return Home From 6-Month Deployment to 5th, 6th Fleets",https://news.usni.org/wp-content/uploads/2018/08/180513-N-AH771-0063-660x472.jpg
"USNI News Fleet and Marine Tracker: Aug. 6, 2018",https://news.usni.org/wp-content/uploads/2018/08/FT_08_06_2018-1-660x370.jpg
"USNI News Fleet and Marine Tracker: July 30, 2018",https://news.usni.org/wp-content/uploads/2018/07/FT_07_30_2018-660x370.jpg
"USNI News Fleet and Marine Tracker: July 23, 2018",https://news.usni.org/wp-content/uploads/2018/07/FT_07_23_2018-660x370.jpg
"USNI News Fleet and Marine Tracker: July 16, 2018",https://news.usni.org/wp-content/uploads/2018/07/FT_07_16_2018-660x369.jpg
"USNI News Fleet and Marine Tracker: July 9, 2018",https://news.usni.org/wp-content/uploads/2018/07/FT_07_09_2018-660x369.jpg
"USNI News Fleet and Marine Tracker: July 2, 2018",https://news.usni.org/wp-content/uploads/2018/07/FT_07_02_2018-1-660x370.jpg
"USNI News Fleet and Marine Tracker: June 25, 2018",https://news.usni.org/wp-content/uploads/2018/06/FT_06_25_2018-660x370.jpg
"USNI News Fleet and Marine Tracker: June 18, 2018",https://news.usni.org/wp-content/uploads/2018/06/FT_06_18_2018-2-660x370.jpg
"USNI News Fleet and Marine Tracker: June 11, 2018",https://news.usni.org/wp-content/uploads/2018/06/FT_06_11_2018-660x369.jpg
"USNI News Fleet and Marine Tracker: June 4, 2018",https://news.usni.org/wp-content/uploads/2018/06/FT_06_04_2018-660x370.jpg
"USNI News Fleet and Marine Tracker: May 28, 2018",https://news.usni.org/wp-content/uploads/2018/05/FT_05_28_2018-1-660x370.jpg
"USNI News Fleet and Marine Tracker: May 21, 2018",https://news.usni.org/wp-content/uploads/2018/05/FT_05_21_2018-660x369.jpg
"USNI News Fleet and Marine Tracker: May 14, 2018",https://news.usni.org/wp-content/uploads/2018/05/FT_05_14_2018-660x369.jpg
"USNI News Fleet and Marine Tracker: May 7, 2018",https://news.usni.org/wp-content/uploads/2018/05/FT_05_06_2018-1-660x369.jpg
"USNI News Fleet and Marine Tracker: April 30, 2018",https://news.usni.org/wp-content/uploads/2018/04/FT_04_30_2018-2-660x370.jpg
